City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,freetown,8.484,-13.2299,26.83,79,0,3.03,SL,1701122845
205,khandyga,62.6667,135.6,-30.31,93,100,0.14,RU,1701122845
206,lanzhou,36.0564,103.7922,3.88,42,3,0.84,CN,1701122845
207,woodward,36.4337,-99.3904,12.57,40,0,0.0,US,1701122638
208,bathurst,-33.4166,149.5806,18.31,80,100,1.34,AU,1701122847
209,sunne,59.8376,13.143,-9.82,70,80,4.53,SE,1701122847
210,leh,34.1667,77.5833,-0.96,74,100,1.94,IN,1701122847
211,lerwick,60.1545,-1.1494,5.61,60,86,9.43,GB,1701122848
212,wanning,18.8003,110.3967,19.02,84,3,3.64,CN,1701122848
213,omaruru,-21.4333,15.9333,25.66,47,92,2.14,NA,1701122848
214,pingnan,23.5543,110.3976,15.75,81,2,1.5,CN,1701122849
215,adh dhayd,25.2881,55.8816,24.4,62,5,1.01,AE,1701122849
216,quatre cocos,-20.2078,57.7625,23.94,80,18,3.44,MU,1701122849
217,zaozersk,69.4005,32.4476,-9.9,97,95,1.29,RU,1701122850
218,baise city,23.8997,106.6133,15.26,81,29,0.26,CN,1701122851
219,hamilton,39.1834,-84.5333,2.14,63,82,7.6,US,1701122458
220,ceeldheer,3.8488,47.1806,26.97,76,100,5.86,SO,1701122851
221,beira,-19.8436,34.8389,25.05,88,40,4.12,MZ,1701122851
222,tidjikja,18.5564,-11.4271,21.96,15,0,4.7,MR,1701122852
223,mount pearl,47.5166,-52.7813,1.64,80,100,6.17,CA,1701122791
224,shchuchyn,53.6014,24.7465,-6.43,89,100,5.65,BY,1701122852
225,guerrero negro,27.9769,-114.0611,22.62,48,24,1.31,MX,1701122853
226,fortuna,40.5982,-124.1573,18.29,44,0,0.89,US,1701122853
227,malanje,-9.5402,16.341,17.73,98,100,1.31,AO,1701122853
228,bel ombre,-4.6167,55.4167,25.91,89,20,0.51,SC,1701122713
229,maintirano,-18.0667,44.0167,27.13,79,21,4.67,MG,1701122854
230,severo-yeniseyskiy,60.3725,93.0408,-27.57,97,11,1.01,RU,1701122854
231,acarau,-2.8856,-40.12,26.87,80,97,6.55,BR,1701122855
232,enewetak,11.3474,162.3373,27.93,74,6,9.75,MH,1701122666
233,whitehorse,60.7161,-135.0538,3.43,60,75,5.14,CA,1701122666
234,ashkasham,36.6833,71.5333,-4.22,64,1,2.04,AF,1701122855
235,pathein,16.7833,94.7333,21.28,78,23,2.8,MM,1701122856
236,sao miguel do tapuio,-5.5036,-41.3233,30.57,27,0,2.34,BR,1701122856
237,alofi,-19.0595,-169.9187,28.94,65,75,4.63,NU,1701122856
238,chonchi,-42.6128,-73.8092,13.95,90,100,3.1,CL,1701122698
239,gobabis,-22.45,18.9667,26.15,33,54,4.49,NA,1701122857
240,inhambane,-23.865,35.3833,23.08,87,0,3.06,MZ,1701122857
241,sao francisco,-15.9486,-44.8644,24.72,69,75,3.03,BR,1701122857
242,bodaybo,57.8506,114.1933,-18.67,99,100,1.06,RU,1701122858
243,quelimane,-17.8786,36.8883,26.97,89,40,1.03,MZ,1701122858
244,bamboo flat,11.7,92.7167,28.05,78,40,4.12,IN,1701122858
245,la punta,-33.1837,-66.3127,32.35,24,33,5.02,AR,1701122859
246,tralee,52.2704,-9.7026,5.01,84,94,1.94,IE,1701122859
247,phatthalung,7.5,100.0833,24.23,94,100,7.12,TH,1701122859
248,strelka,58.0728,93.0344,-20.78,99,11,0.7,RU,1701122860
249,at taj,24.2049,23.2857,15.35,48,100,4.34,LY,1701122860
